textfile,Indiansenti,Europeansenti
jan22.txt,0.1925,0.1105
feb22.txt,0.1925,-0.109
march22.txt,0.1703,-0.0212
april22.txt,0.2315,0.0747
may22.txt,0.1703,-0.1098
jun22.txt,0.1703,-0.1588
july22.txt,0.1401,0.1469
aug22.txt,0.2627,0.1105
sept22.txt,0.1703,0.0747
oct22.txt,0.1703,0.0747
nov22.txt,0.1703,0.0747
dec22.txt,0.2433,0.0485
jan2023.txt,0.1559,0.0033
feb2023.txt,0.2225,0.0398
march2023.txt,0.26,0.0257
april2023.txt,0.302,0.0921
may2023.txt,0.2038,-0.053
jun2023.txt,0.1191,-0.0881
july2023.txt,0.1325,0.0705
aug2023.txt,0.2233,0.1013
sept2023.txt,0.2615,0.1351
oct2023.txt,0.2482,0.0633
nov2023.txt,0.2743,-0.0873
dec2023.txt,0.3148,0.275
jan20.txt,0.0394,0.1229
feb20.txt,0.1714,-0.0805
march20.txt,0.1549,-0.0912
apr20.txt,0.1447,0.0462
may20.txt,0.1418,-0.0132
jun20.txt,0.1091,0.1402
july20.txt,0.1714,0.0536
aug20.txt,0.1577,-0.192
sept20.txt,0.0347,-0.0805
oct20.txt,0.1715,0.1271
nov20.txt,0.0618,0.1288
dec20.txt,0.1418,-0.0132
jan2021.txt,0.183,0.1407
feb2021.txt,0.2299,0.3157
march2021.txt,0.0818,0.0905
april2021.txt,0.1953,0.0948
may2021.txt,0.0997,0.0768
jun2021.txt,0.3034,0.1075
jul2021.txt,0.2486,0.095
aug2021.txt,0.0869,0.1032
sep2021.txt,0.1678,-0.0971
oct2021.txt,0.0731,0.0781
nov2021.txt,0.0253,0.2555
dec2021.txt,0.0989,0.0989
